Citizenship in Chicago Community Areas,,,,,,,,,,,,,,,,,
,1930,1940,1950,1960,1970,1980,1990,2000,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020
U.S. citizen by naturalization,,,,,,,  193 ,  196 ,  180 ,  154 ,  194 ,  287 ,  328 ,398,460,505,237
Not a U.S. citizen,,,,,,,  204 ,  285 ,  73 ,  76 ,  74 ,  173 ,  284 ,300,236,353,171
Percent foreign born,19.30%,15.50%,12.80%,5.6%,0.8%,1.8%,1.1%,1.3%,0.8%,0.7%,0.9%,1.0%,2.0%,2.2%,2.3%,2.8%,1.3%
,,,,,,,,,,,,,,,,,
45. Avalon Park,,,,,,,,,,,,,,,,,
Total,"  10,023 ","  10,464 ","  11,358 ","  12,710 ","  14,389 ","  13,792 ","  11,711 ","  11,082 ","  9,617 ","  9,951 ","  10,098 ","  9,813 ","  9,840 ","10,034","9,785","9,713","9,629"
U.S. citizen by birth,"  8,380 ","  9,147 ","  10,111 ","  11,404 ","  13,969 ","  13,595 ","  11,636 ","  10,777 ","  9,448 ","  9,770 ","  9,908 ","  9,536 ","  9,692 ","9,873","9,614","9,571","9,517"
Foreign born,"  1,643 ","  1,317 ","  1,247 ","  1,306 ",  420 ,  197 ,  75 ,  305 ,  169 ,  181 ,  190 ,  277 ,  148 ,161,171,142,112
U.S. citizen by naturalization,,,,,,,  47 ,  145 ,  58 ,  85 ,  77 ,  127 ,  76 ,102,67,96,61
Not a U.S. citizen,,,,,,,  28 ,  160 ,  111 ,  96 ,  113 ,  150 ,  72 ,59,104,46,51
Percent foreign born,16.40%,12.60%,11.00%,10.3%,2.9%,1.4%,0.6%,2.8%,1.8%,1.8%,1.9%,3.0%,1.5%,1.6%,1.7%,1.5%,1.2%
,,,,,,,,,,,,,,,,,
46. South Chicago,,,,,,,,,,,,,,,,,
Total,"  56,683 ","  55,090 ","  55,715 ","  49,913 ","  45,655 ","  46,422 ","  40,645 ","  38,596 ","  29,458 ","  29,052 ","  28,550 ","  28,095 ","  27,601 ","28,263","29,021","29,936","29,977"
U.S. citizen by birth,"  43,334 ","  43,636 ","  46,871 ","  42,957 ","  39,792 ","  38,578 ","  34,386 ","  33,484 ","  25,819 ","  25,544 ","  25,384 ","  24,850 ","  24,782 ","25,691","26,018","26,625","26,806"
Foreign born,"  13,349 ","  11,454 ","  8,844 ","  6,956 ","  5,863 ","  7,844 ","  6,259 ","  5,112 ","  3,639 ","  3,508 ","  3,166 ","  3,245 ","  2,819 ","2,572","3,003","3,311","3,171"
U.S. citizen by naturalization,,,,,,,"  1,968 ","  2,011 ","  1,098 ","  1,123 ","  1,253 ","  1,164 ","  1,186 ","1,134","1,192","1,400","1,429"
Not a U.S. citizen,,,,,,,"  4,291 ","  3,101 ","  2,541 ","  2,385 ","  1,913 ","  2,081 ","  1,633 ","1,438","1,811","1,911","1,742"
Percent foreign born,23.60%,20.80%,15.90%,13.9%,12.8%,16.9%,15.4%,13.2%,12.4%,12.1%,11.1%,12.0%,10.2%,9.1%,10.3%,11.1%,10.6%
,,,,,,,,,,,,,,,,,
47. Burnside,,,,,,,,,,,,,,,,,
Total,"  3,483 ","  3,567 ","  3,551 ","  3,463 ","  3,181 ","  3,942 ","  3,445 ","  3,294 ","  3,508 ","  2,837 ","  2,618 ","  2,601 ","  2,442 ","2,254","2,336","2,006","2,180"
U.S. citizen by birth,"  2,192 ","  2,475 ","  2,641 ","  2,704 ","  2,538 ","  3,703 ","  3,371 ","  3,206 ","  3,408 ","  2,709 ","  2,543 ","  2,533 ","  2,349 ","2,132","2,267","1,919","2,030"
Foreign born,"  1,291 ","  1,092 ",  910 ,  759 ,  643 ,  239 ,  74 ,  88 ,  100 ,  128 ,  75 ,  68 ,  93 ,122,69,87,150
U.S. citizen by naturalization,,,,,,,  59 ,  68 ,  57 ,  117 ,  75 ,  68 ,  86 ,103,47,58,105
Not a U.S. citizen,,,,,,,  15 ,  20 ,  43 ,  11 ,  -   ,  -   ,  7 ,19,22,29,45
Percent foreign born,37.10%,30.60%,25.60%,21.9%,20.2%,6.1%,2.1%,2.7%,2.9%,4.5%,2.9%,3.0%,3.8%,5.4%,3.0%,4.3%,6.9%
,,,,,,,,,,,,,,,,,
48. Calumet Heights,,,,,,,,,,,,,,,,,
Total,"  7,343 ","  7,417 ","  9,349 ","  19,352 ","  20,123 ","  20,505 ","  17,453 ","  16,014 ","  14,382 ","  13,854 ","  13,400 ","  13,732 ","  13,306 ","13,188","12,956","12,815","12,343"
U.S. citizen by birth,"  5,714 ","  6,053 ","  7,983 ","  16,880 ","  18,181 ","  19,506 ","  16,780 ","  15,366 ","  13,627 ","  13,235 ","  12,849 ","  13,241 ","  12,602 ","12,660","12,421","12,290","11,939"
Foreign born,"  1,629 ","  1,364 ","  1,366 ","  2,472 ","  1,942 ",  999 ,  673 ,  648 ,  755 ,  619 ,  551 ,  491 ,  704 ,528,535,525,404
U.S. citizen by naturalization,,,,,,,  354 ,  337 ,  381 ,  348 ,  374 ,  278 ,  450 ,307,350,355,311
Not a U.S. citizen,,,,,,,  319 ,  311 ,  374 ,  271 ,  177 ,  213 ,  254 ,221,185,170,93
Percent foreign born,22.20%,18.40%,14.60%,12.8%,9.7%,4.9%,3.9%,4.0%,5.2%,4.5%,4.1%,4.0%,5.3%,4.0%,4.1%,4.1%,3.3%
,,,,,,,,,,,,,,,,,
49. Roseland,,,,,,,,,,,,,,,,,
Total,"  43,206 ","  44,009 ","  56,705 ","  58,750 ","  62,716 ","  64,372 ","  56,493 ","  52,683 ","  45,285 ","  44,495 ","  44,267 ","  42,505 ","  42,327 ","42,433","41,106","39,162","39,623"
U.S. citizen by birth,"  30,714 ","  34,198 ","  48,650 ","  52,461 ","  59,173 ","  63,147 ","  56,206 ","  52,242 ","  44,578 ","  43,724 ","  43,308 ","  41,594 ","  41,437 ","41,449","40,370","38,485","38,925"
Foreign born,"  12,492 ","  9,811 ","  8,055 ","  6,289 ","  3,543 ","  1,225 ",  287 ,  441 ,  707 ,  771 ,  959 ,  911 ,  890 ,984,736,677,698
U.S. citizen by naturalization,,,,,,,  166 ,  292 ,  372 ,  470 ,  552 ,  534 ,  580 ,629,496,422,378
Not a U.S. citizen,,,,,,,  121 ,  149 ,  335 ,  301 ,  407 ,  377 ,  310 ,355,240,255,320
Percent foreign born,28.90%,22.30%,14.20%,10.7%,5.6%,1.9%,0.5%,0.8%,1.6%,1.7%,2.2%,2.0%,2.1%,2.3%,1.8%,1.7%,1.8%
,,,,,,,,,,,,,,,,,
50. Pullman,,,,,,,,,,,,,,,,,
Total,"  6,705 ","  6,523 ","  8,899 ","  8,412 ","  10,965 ","  10,341 ","  9,344 ","  8,921 ","  7,262 ","  6,934 ","  6,970 ","  6,501 ","  6,620 ","6,613","6,816","6,840","7,131"
U.S. citizen by birth,"  3,935 ","  4,554 ","  7,171 ","  7,052 ","  10,107 ","  9,631 ","  8,734 ","  8,450 ","  7,016 ","  6,653 ","  6,705 ","  6,267 ","  6,372 ","6,386","6,557","6,542","6,894"
Foreign born,"  2,770 ","  1,969 ","  1,728 ","  1,360 ",  858 ,  710 ,  610 ,  471 ,  246 ,  281 ,  265 ,  234 ,  248 ,227,259,298,237
U.S. citizen by naturalization,,,,,,,  252 ,  193 ,  84 ,  99 ,  96 ,  113 ,  96 ,83,68,101,103
Not a U.S. citizen,,,,,,,  358 ,  278 ,  162 ,  182 ,  169 ,  121 ,  152 ,144,191,197,134
Percent foreign born,41.30%,30.20%,19.40%,16.2%,7.8%,6.9%,6.5%,5.3%,3.4%,4.1%,3.8%,4.0%,3.7%,3.4%,3.8%,4.4%,3.3%
,,,,,,,,,,,,,,,,,
51. South Deering,,,,,,,,,,,,,,,,,
Total,"  7,898 ","  9,662 ","  17,476 ","  18,794 ","  19,271 ","  19,400 ","  17,755 ","  16,955 ","  16,445 ","  15,743 ","  15,570 ","  15,305 ","  14,635 ","14,614","14,697","15,475","15,144"
U.S. citizen by birth,"  5,635 ","  7,425 ","  15,219 ","  16,340 ","  16,823 ","  17,198 ","  15,829 ","  14,767 ","  14,142 ","  13,434 ","  13,398 ","  13,224 ","  12,860 ","12,903","12,956","13,890","13,633"
Foreign born,"  2,263 ","  2,237 ","  2,257 ","  2,454 ","  2,448 ","  2,202 ","  1,926 ","  2,188 ","  2,303 ","  2,309 ","  2,172 ","  2,081 ","  1,775 ","1,711","1,741","1,585","1,511"
U.S. citizen by naturalization,,,,,,,  833 ,  995 ,"  1,178 ","  1,206 ","  1,154 ","  1,112 ",  967 ,966,943,810,711
Not a U.S. citizen,,,,,,,"  1,093 ","  1,193 ","  1,125 ","  1,103 ","  1,018 ",  969 ,  808 ,745,798,775,800
Percent foreign born,28.70%,23.20%,12.90%,13.1%,12.7%,11.4%,10.8%,12.9%,14.0%,14.7%,13.9%,14.0%,12.1%,11.7%,11.8%,10.2%,10.0%
,,,,,,,,,,,,,,,,,
52. East Side,,,,,,,,,,,,,,,,,
Total,"  16,839 ","  16,513 ","  21,619 ","  23,214 ","  24,649 ","  21,331 ","  20,450 ","  23,688 ","  23,517 ","  23,526 ","  23,739 ","  23,817 ","  23,013 ","23,771","24,230","23,723","22,999"
U.S. citizen by birth,"  12,448 ","  13,323 ","  18,852 ","  20,543 ","  22,475 ","  18,321 ","  16,778 ","  16,935 ","  16,183 ","  16,509 ","  16,433 ","  17,047 ","  16,339 ","17,042","17,403","17,602","17,305"
Foreign born,"  4,391 ","  3,190 ","  2,767 ","  2,671 ","  2,174 ","  3,010 ","  3,672 ","  6,753 ","  7,334 ","  7,017 ","  7,306 ","  6,770 ","  6,674 ","6,729","6,827","6,121","5,694"
U.S. citizen by naturalization,,,,,,,"  1,692 ","  3,113 ","  3,465 ","  3,451 ","  3,643 ","  2,966 ","  3,086 ","2,846","2,813","2,753","2,692"
Not a U.S. citizen,,,,,,,"  1,980 ","  3,640 ","  3,869 ","  3,566 ","  3,663 ","  3,804 ","  3,588 ","3,883","4,014","3,368","3,002"
Percent foreign born,26.10%,19.30%,12.80%,11.5%,8.8%,14.1%,18.0%,28.5%,31.2%,29.8%,30.8%,28.0%,29.0%,28.3%,28.2%,25.8%,24.8%
,,,,,,,,,,,,,,,,,
53. West Pullman,,,,,,,,,,,,,,,,,
Total,"  28,474 ","  27,834 ","  29,265 ","  35,397 ","  40,278 ","  44,904 ","  39,846 ","  36,649 ","  30,810 ","  29,796 ","  28,160 ","  27,973 ","  27,572 ","27,733","27,471","27,028","26,484"
U.S. citizen by birth,"  19,586 ","  20,901 ","  23,844 ","  30,914 ","  36,942 ","  43,345 ","  38,554 ","  35,395 ","  29,933 ","  28,921 ","  27,417 ","  27,158 ","  26,632 ","26,727","26,596","26,065","25,382"
Foreign born,"  8,888 ","  6,933 ","  5,421 ","  4,483 ","  3,336 ","  1,559 ","  1,292 ","  1,254 ",  877 ,  875 ,  743 ,  815 ,  940 ,"1,006",875,963,"1,102"
U.S. citizen by naturalization,,,,,,,  525 ,  467 ,  290 ,  314 ,  305 ,  354 ,  439 ,452,429,453,557
Not a U.S. citizen,,,,,,,  767 ,  787 ,  587 ,  561 ,  438 ,  461 ,  501 ,554,446,510,545
Percent foreign born,31.20%,24.90%,18.50%,12.7%,8.3%,3.5%,3.2%,3.4%,2.8%,2.9%,2.6%,3.0%,3.4%,3.6%,3.2%,3.6%,4.2%
,,,,,,,,,,,,,,,,,
54. Riverdale,,,,,,,,,,,,,,,,,
Total,"  1,486 ","  1,509 ","  9,790 ","  11,448 ","  15,018 ","  13,539 ","  10,821 ","  9,809 ","  6,820 ","  7,006 ","  7,190 ","  7,090 ","  7,382 ","7,394","7,262","7,359","7,414"
U.S. citizen by birth,"  1,046 ","  1,165 ","  9,535 ","  11,318 ","  14,945 ","  13,377 ","  10,743 ","  9,586 ","  6,766 ","  6,866 ","  7,120 ","  6,934 ","  7,227 ","7,201","7,162","7,253","7,354"
Foreign born,  440 ,  344 ,  255 ,  130 ,  73 ,  162 ,  78 ,  223 ,  54 ,  140 ,  70 ,  156 ,  155 ,193,100,106,60
U.S. citizen by naturalization,,,,,,,  49 ,  81 ,  54 ,  58 ,  56 ,  65 ,  57 ,62,47,50,-
Not a U.S. citizen,,,,,,,  29 ,  142 , - ,  82 ,  14 ,  91 ,  98 ,131,53,56,60
Percent foreign born,29.60%,22.80%,2.60%,1.1%,0.5%,1.2%,0.7%,2.3%,0.8%,2.0%,1.0%,2.0%,2.1%,2.6%,1.4%,1.4%,0.8%
,,,,,,,,,,,,,,,,,
55. Hegewisch,,,,,,,,,,,,,,,,,
Total,"  7,890 ","  7,509 ","  7,142 ","  8,936 ","  11,345 ","  11,572 ","  10,136 ","  9,781 ","  10,168 ","  9,822 ","  9,338 ","  8,952 ","  9,151 ","9,384","9,205","9,089","9,175"
U.S. citizen by birth,"  5,338 ","  5,642 ","  5,773 ","  7,799 ","  10,387 ","  10,611 ","  9,215 ","  8,457 ","  9,056 ","  8,776 ","  8,245 ","  7,910 ","  7,941 ","7,876","7,609","7,385","7,690"
Foreign born,"  2,552 ","  1,867 ","  1,369 ","  1,137 ",  958 ,  961 ,  921 ,"  1,324 ","  1,112 ","  1,046 ","  1,093 ","  1,042 ","  1,210 ","1,508","1,596","1,704","1,485"
U.S. citizen by naturalization,,,,,,,  585 ,  843 ,  691 ,  747 ,  896 ,  759 ,  800 ,962,919,891,904
Not a U.S. citizen,,,,,,,  336 ,  481 ,  421 ,  299 ,  197 ,  283 ,  410 ,546,677,813,581
Percent foreign born,32.30%,24.90%,19.20%,12.7%,8.4%,8.3%,9.1%,13.5%,10.9%,10.6%,11.7%,12.0%,13.2%,16.1%,17.3%,18.7%,16.2%
,,,,,,,,,,,,,,,,,
56. Garfield Ridge,,,,,,,,,,,,,,,,,
Total,"  6,050 ","  6,813 ","  12,900 ","  40,449 ","  42,993 ","  37,928 ","  33,948 ","  36,089 ","  33,940 ","  34,709 ","  34,743 ","  35,632 ","  35,542 ","36,452","36,462","37,207","36,049"
U.S. citizen by birth,"  4,263 ","  5,206 ","  10,956 ","  36,971 ","  39,889 ","  34,844 ","  30,143 ","  29,074 ","  26,243 ","  26,625 ","  26,873 ","  27,273 ","  27,360 ","28,046","28,047","28,837","28,003"
Foreign born,"  1,787 ","  1,607 ","  1,944 ","  3,478 ","  3,104 ","  3,084 ","  3,805 ","  7,015 ","  7,697 ","  8,084 ","  7,870 ","  8,359 ","  8,182 ","8,406","8,415","8,370","8,046"
U.S. citizen by naturalization,,,,,,,"  1,898 ","  2,891 ","  4,491 ","  4,641 ","  4,645 ","  4,809 ","  4,606 ","4,424","4,497","4,366","4,747"
Not a U.S. citizen,,,,,,,"  1,907 ","  4,124 ","  3,206 ","  3,443 ","  3,225 ","  3,550 ","  3,576 ","3,982","3,918","4,004","3,299"
Percent foreign born,29.50%,23.60%,15.10%,8.6%,7.2%,8.1%,11.2%,19.4%,22.7%,23.3%,22.7%,23.0%,23.0%,23.1%,23.1%,22.5%,22.3%
,,,,,,,,,,,,,,,,,
57. Archer Heights,,,,,,,,,,,,,,,,,
Total,"  8,120 ","  8,216 ","  8,675 ","  10,584 ","  11,158 ","  9,708 ","  9,227 ","  12,656 ","  13,434 ","  14,132 ","  13,998 ","  13,293 ","  13,259 ","13,169","13,082","13,726","13,533"
U.S. citizen by birth,"  5,521 ","  6,043 ","  6,779 ","  8,841 ","  9,582 ","  7,977 ","  6,763 ","  7,114 ","  7,814 ","  8,190 ","  8,057 ","  7,955 ","  7,734 ","7,921","8,084","8,547","8,347"
Foreign born,"  2,599 ","  2,173 ","  1,896 ","  1,743 ","  1,576 ","  1,731 ","  2,464 ","  5,542 ","  5,620 ","  5,942 ","  5,941 ","  5,338 ","  5,525 ","5,248","4,998","5,179","5,186"
U.S. citizen by naturalization,,,,,,,"  1,109 ","  1,837 ","  2,051 ","  2,078 ","  2,133 ","  1,823 ","  1,972 ","2,075","2,105","2,285","2,469"
Not a U.S. citizen,,,,,,,"  1,355 ","  3,705 ","  3,569 ","  3,864 ","  3,808 ","  3,515 ","  3,553 ","3,173","2,893","2,894","2,717"
Percent foreign born,32.00%,26.40%,21.90%,16.5%,14.1%,17.8%,26.7%,43.8%,41.8%,42.0%,42.4%,40.0%,41.7%,39.9%,38.2%,37.7%,38.3%
,,,,,,,,,,,,,,,,,
58. Brighton Park,,,,,,,,,,,,,,,,,
Total,"  46,552 ","  45,030 ","  41,345 ","  38,019 ","  35,671 ","  30,770 ","  32,207 ","  44,912 ","  44,148 ","  43,567 ","  44,130 ","  44,202 ","  44,231 ","44,813","45,031","44,156","42,728"
U.S. citizen by birth,"  32,450 ","  33,559 ","  32,653 ","  30,274 ","  29,424 ","  24,443 ","  22,772 ","  24,108 ","  24,932 ","  23,808 ","  23,796 ","  23,563 ","  23,727 ","24,482","25,522","25,282","25,212"
Foreign born,"  14,102 ","  11,471 ","  8,692 ","  7,745 ","  6,247 ","  6,327 ","  9,435 ","  20,804 ","  19,216 ","  19,759 ","  20,334 ","  20,639 ","  20,504 ","20,331","19,509","18,874","17,516"
U.S. citizen by naturalization,,,,,,,"  3,323 ","  6,635 ","  5,779 ","  6,035 ","  6,355 ","  6,430 ","  7,290 ","7,297","7,429","7,240","7,450"
Not a U.S. citizen,,,,,,,"  6,112 ","  14,169 ","  13,437 ","  13,724 ","  13,979 ","  14,209 ","  13,214 ","13,034","12,080","11,634","10,066"
Percent foreign born,30.30%,25.50%,21.00%,20.4%,17.5%,20.6%,29.3%,46.3%,43.5%,45.4%,46.1%,47.0%,46.4%,45.4%,43.3%,42.7%,41.0%
,,,,,,,,,,,,,,,,,
59. McKinley Park,,,,,,,,,,,,,,,,,
Total,"  22,032 ","  20,429 ","  18,813 ","  16,908 ","  15,691 ","  13,248 ","  13,297 ","  15,962 ","  16,434 ","  16,538 ","  16,449 ","  16,336 ","  16,064 ","15,767","15,920","15,177","15,246"
U.S. citizen by birth,"  16,968 ","  16,785 ","  16,409 ","  15,223 ","  14,406 ","  11,966 ","  10,790 ","  9,911 ","  10,418 ","  10,265 ","  10,341 ","  10,536 ","  10,328 ","10,175","10,040","9,672","9,165"
Foreign born,"  5,064 ","  3,644 ","  2,404 ","  1,685 ","  1,285 ","  1,282 ","  2,507 ","  6,051 ","  6,016 ","  6,273 ","  6,108 ","  5,800 ","  5,736 ","5,592","5,880","5,505","6,081"
U.S. citizen by naturalization,,,,,,,  792 ,"  2,051 ","  2,595 ","  2,802 ","  2,804 ","  2,931 ","  3,169 ","3,045","3,176","2,952","3,308"
Not a U.S. citizen,,,,,,,"  1,715 ","  4,000 ","  3,421 ","  3,471 ","  3,304 ","  2,869 ","  2,567 ","2,547","2,704","2,553","2,773"
Percent foreign born,23.0%,17.8%,12.8%,10.0%,8.2%,9.7%,18.9%,37.9%,36.6%,37.9%,37.1%,36.0%,35.7%,35.5%,36.9%,36.3%,39.9%
,,,,,,,,,,,,,,,,,
60. Bridgeport,,,,,,,,,,,,,,,,,
Total,"  53,553 ","  49,109 ","  46,070 ","  41,560 ","  35,150 ","  30,923 ","  29,877 ","  33,694 ","  32,430 ","  32,639 ","  31,939 ","  33,939 ","  32,853 ","33,696","33,888","34,540","32,901"
U.S. citizen by birth,"  38,181 ","  38,249 ","  38,444 ","  36,187 ","  31,779 ","  26,448 ","  22,762 ","  22,859 ","  21,360 ","  21,256 ","  21,000 ","  22,079 ","  21,069 ","21,546","21,813","22,334","21,430"
Foreign born,"  15,372 ","  10,860 ","  7,626 ","  5,373 ","  3,371 ","  4,475 ","  7,115 ","  10,835 ","  11,070 ","  11,383 ","  10,939 ","  11,860 ","  11,784 ","12,150","12,075","12,206","11,471"
U.S. citizen by naturalization,,,,,,,"  2,632 ","  4,879 ","  5,941 ","  6,098 ","  5,662 ","  6,123 ","  6,092 ","6,389","6,641","6,729","6,335"
Not a U.S. citizen,,,,,,,"  4,483 ","  5,956 ","  5,129 ","  5,285 ","  5,277 ","  5,737 ","  5,692 ","5,761","5,434","5,477","5,136"
Percent foreign born,28.70%,22.10%,16.60%,12.9%,9.6%,14.5%,23.8%,32.2%,34.1%,34.9%,34.2%,35.0%,35.9%,36.1%,35.6%,35.3%,34.9%
,,,,,,,,,,,,,,,,,
61. New City,,,,,,,,,,,,,,,,,
Total,"  87,103 ","  80,725 ","  75,917 ","  67,428 ","  60,747 ","  55,860 ","  53,226 ","  51,721 ","  42,107 ","  41,758 ","  41,598 ","  41,083 ","  41,178 ","39,646","39,542","39,508","39,055"
U.S. citizen,"  61,603 ","  62,564 ","  63,088 ","  57,955 ","  52,148 ","  42,502 ","  42,230 ","  36,462 ","  30,086 ","  30,067 ","  29,514 ","  28,744 ","  28,752 ","27,678","27,948","28,413","28,447"
Foreign born,"  25,500 ","  18,161 ","  12,829 ","  9,473 ","  8,599 ","  13,358 ","  10,996 ","  15,259 ","  12,021 ","  11,691 ","  12,084 ","  12,339 ","  12,426 ","11,968","11,594","11,095","10,608"
U.S. citizen by naturalization,,,,,,,"  2,496 ","  3,214 ","  2,501 ","  2,467 ","  2,559 ","  2,818 ","  2,920 ","2,824","2,771","2,908","2,922"
Not a U.S. citizen,,,,,,,"  8,500 ","  12,045 ","  9,520 ","  9,224 ","  9,525 ","  9,521 ","  9,506 ","9,144","8,823","8,187","7,686"
Percent foreign born,29.30%,22.50%,16.90%,14.0%,14.2%,23.9%,20.7%,29.5%,28.5%,28.0%,29.0%,30.0%,30.2%,30.2%,29.3%,28.1%,27.2%
,,,,,,,,,,,,,,,,,
62. West Elsdon,,,,,,,,,,,,,,,,,
Total,"  2,861 ","  3,255 ","  7,728 ","  14,215 ","  14,059 ","  12,797 ","  12,266 ","  15,921 ","  18,980 ","  19,517 ","  19,165 ","  19,192 ","  19,932 ","19,210","19,336","19,126","18,523"
U.S. citizen by birth,"  1,960 ","  2,436 ","  6,508 ","  12,406 ","  12,474 ","  11,271 ","  9,736 ","  9,956 ","  11,440 ","  11,625 ","  11,492 ","  11,548 ","  12,208 ","11,994","12,277","12,307","11,975"
Foreign born,  901 ,  819 ,"  1,220 ","  1,809 ","  1,585 ","  1,526 ","  2,530 ","  5,965 ","  7,540 ","  7,892 ","  7,673 ","  7,644 ","  7,724 ","7,216","7,059","6,819","6,548"
U.S. citizen by naturalization,,,,,,,"  1,287 ","  2,296 ","  2,734 ","  3,098 ","  3,533 ","  3,422 ","  3,367 ","3,144","3,162","2,809","3,056"
Not a U.S. citizen,,,,,,,"  1,243 ","  3,669 ","  4,806 ","  4,794 ","  4,140 ","  4,222 ","  4,357 ","4,072","3,897","4,010","3,492"
Percent foreign born,31.50%,25.20%,15.80%,12.7%,11.3%,11.9%,20.6%,37.5%,39.7%,40.4%,40.0%,40.0%,38.8%,37.6%,36.5%,35.7%,35.4%
,,,,,,,,,,,,,,,,,
63. Gage Park,,,,,,,,,,,,,,,,,
Total,"  31,535 ","  30,343 ","  30,149 ","  28,244 ","  26,698 ","  24,445 ","  26,957 ","  39,193 ","  39,492 ","  39,580 ","  40,381 ","  41,202 ","  40,926 ","40,873","39,302","37,478","35,300"
U.S. citizen by birth,"  23,474 ","  23,881 ","  24,714 ","  23,779 ","  22,693 ","  20,654 ","  20,795 ","  21,478 ","  21,343 ","  21,382 ","  21,782 ","  22,811 ","  23,762 ","24,555","24,517","23,446","22,715"
Foreign born,"  8,061 ","  6,462 ","  5,435 ","  4,465 ","  4,005 ","  3,791 ","  6,162 ","  17,715 ","  18,149 ","  18,198 ","  18,599 ","  18,391 ","  17,164 ","16,318","14,785","14,032","12,585"
U.S. citizen by naturalization,,,,,,,"  1,965 ","  4,436 ","  4,181 ","  3,893 ","  4,069 ","  4,580 ","  4,675 ","4,628","4,720","4,941","4,710"
Not a U.S. citizen,,,,,,,"  4,197 ","  13,279 ","  13,968 ","  14,305 ","  14,530 ","  13,811 ","  12,489 ","11,690","10,065","9,091","7,875"
Percent foreign born,25.60%,21.30%,18.00%,15.8%,15.0%,15.5%,22.9%,45.2%,46.0%,46.0%,46.1%,45.0%,41.9%,39.9%,37.6%,37.4%,35.7%
,,,,,,,,,,,,,,,,,
64. Clearing,,,,,,,,,,,,,,,,,
Total,"  5,434 ","  6,068 ","  10,591 ","  18,797 ","  24,527 ","  22,584 ","  21,490 ","  22,331 ","  22,716 ","  23,399 ","  24,452 ","  24,962 ","  25,200 ","25,891","25,735","24,976","24,382"
U.S. citizen by birth,"  4,187 ","  5,069 ","  9,424 ","  17,282 ","  22,396 ","  20,512 ","  19,456 ","  18,529 ","  17,727 ","  18,419 ","  19,095 ","  19,807 ","  20,234 ","21,239","21,134","20,702","19,576"
Foreign born,"  1,247 ",  999 ,"  1,167 ","  1,515 ","  2,131 ","  2,072 ","  2,034 ","  3,802 ","  4,989 ","  4,980 ","  5,357 ","  5,155 ","  4,966 ","4,652","4,601","4,274","4,806"
U.S. citizen by naturalization,,,,,,,"  1,231 ","  1,887 ","  2,220 ","  2,258 ","  2,494 ","  2,579 ","  2,687 ","2,702","2,790","2,677","2,686"
Not a U.S. citizen,,,,,,,  803 ,"  1,915 ","  2,769 ","  2,722 ","  2,863 ","  2,576 ","  2,279 ","1,950","1,811","1,597","2,120"
Percent foreign born,22.90%,16.50%,11.00%,8.1%,8.7%,9.2%,9.5%,17.0%,22.0%,21.3%,21.9%,21.0%,19.7%,18.0%,17.9%,17.1%,19.7%
,,,,,,,,,,,,,,,,,
65. West Lawn,,,,,,,,,,,,,,,,,
Total,"  8,919 ","  10,289 ","  14,460 ","  26,910 ","  18,510 ","  24,748 ","  23,402 ","  29,235 ","  32,950 ","  33,199 ","  33,477 ","  32,749 ","  33,595 ","33,108","32,176","31,886","32,162"
U.S. citizen by birth,"  7,137 ","  8,524 ","  12,382 ","  23,987 ","  16,297 ","  22,013 ","  20,611 ","  20,274 ","  21,032 ","  20,954 ","  21,223 ","  20,842 ","  21,711 ","21,680","21,180","21,061","21,363"
Foreign born,"  1,782 ","  1,765 ","  2,078 ","  2,923 ","  2,213 ","  2,735 ","  2,791 ","  8,961 ","  11,918 ","  12,245 ","  12,254 ","  11,907 ","  11,884 ","11,428","10,996","10,825","10,799"
U.S. citizen by naturalization,,,,,,,"  1,660 ","  3,754 ","  4,219 ","  4,131 ","  4,428 ","  4,682 ","  4,582 ","4,385","4,509","4,145","4,417"
Not a U.S. citizen,,,,,,,"  1,131 ","  5,207 ","  7,699 ","  8,114 ","  7,826 ","  7,225 ","  7,302 ","7,043","6,487","6,680","6,382"
Percent foreign born,20.00%,17.20%,14.40%,10.9%,12.0%,11.1%,11.9%,30.7%,36.2%,36.9%,36.6%,36.0%,35.4%,34.5%,34.2%,33.9%,33.6%
,,,,,,,,,,,,,,,,,
66. Chicago Lawn,,,,,,,,,,,,,,,,,
Total,"  47,462 ","  49,291 ","  50,211 ","  51,347 ","  48,508 ","  46,568 ","  51,243 ","  61,412 ","  54,807 ","  55,598 ","  56,293 ","  55,551 ","  54,265 ","53,098","52,003","51,352","51,243"
U.S. citizen by birth,"  37,316 ","  40,514 ","  41,650 ","  41,237 ","  38,411 ","  37,790 ","  39,972 ","  48,522 ","  43,142 ","  43,437 ","  43,217 ","  42,135 ","  41,449 ","40,234","39,652","39,578","38,617"
Foreign born,"  10,146 ","  8,777 ","  8,561 ","  10,110 ","  10,097 ","  8,778 ","  11,271 ","  12,890 ","  11,665 ","  12,161 ","  13,076 ","  13,416 ","  12,816 ","12,864","12,351","11,774","12,626"
U.S. citizen by naturalization,,,,,,,"  4,635 ","  4,181 ","  2,993 ","  3,207 ","  3,633 ","  3,700 ","  3,656 ","3,763","3,837","3,660","3,798"
Not a U.S. citizen,,,,,,,"  6,636 ","  8,709 ","  8,672 ","  8,954 ","  9,443 ","  9,716 ","  9,160 ","9,101","8,514","8,114","8,828"
