"Household Income in Chicago Community Areas
Note: All median income data are adjusted to year 2020 dollars.
",,,,,,,,,,,,,
,1970,1980,1990,2000,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020
"$125,000 to $149,999",,,43,216,150,229,286,262,401,392,406,438,566
"$150,000 to $199,999",,,29,112,145,191,159,196,243,252,230,350,353
"$200,000 or more",,,,79,47,45,42,89,97,100,149,172,231
Median household income,"$60,071","$56,811","$51,877","$55,857","$38,750","$37,576","$35,605","$35,939","$36,063","$35,438","$34,323","$34,654","$36,165"
,,,,,,,,,,,,,
67. West Englewood,,,,,,,,,,,,,
Total,"17,455","16,086","13,668","12,351","10,364","10,183","10,036","9,744","9,655","9,642","9,521","9,483","9,449"
"Less than $10,000",,,"3,688","2,590","1,530","1,573","1,645","1,637","1,601","1,499","1,263","1,281","1,329"
"$10,000 to $14,999",,,1337,1153,1110,1093,1040,951,985,904,894,771,721
"$15,000 to $19,999",,,"1,210","1,097","1,284","1,196","1,175","1,148","1,046","1,089","1,213","1,257","1,201"
"$20,000 to $24,999",,,1266,1054,1020,1013,836,826,927,946,1024,1198,1319
"$25,000 to $29,999",,,997,753,820,754,781,646,604,637,664,644,537
"$30,000 to $34,999",,,1048,819,600,607,564,602,566,540,506,512,474
"$35,000 to $39,999",,,892,642,684,592,621,657,602,570,496,567,582
"$40,000 to $44,999",,,764,691,486,635,543,529,608,589,564,449,428
"$45,000 to $49,999",,,638,454,382,377,320,328,254,330,346,362,306
"$50,000 to $59,999",,,863,1051,613,600,562,567,636,674,595,638,530
"$60,000 to $74,999",,,552,773,767,690,772,727,731,677,693,619,696
"$75,000 to $99,999",,,321,875,645,550,651,640,613,505,488,488,404
"$100,000 to $124,999",,,67,222,276,293,268,208,211,336,373,333,526
"$125,000 to $149,999",,,-,89,87,111,143,146,119,109,122,108,132
"$150,000 to $199,999",,,25,28,22,43,81,94,112,182,146,116,113
"$200,000 or more",,,,60,38,56,34,38,40,55,134,140,151
Median household income,"$53,722","$44,027","$44,534","$41,436","$29,594","$29,160","$29,334","$29,677","$29,125","$29,236","$28,379","$27,012","$26,290"
,,,,,,,,,,,,,
68. Englewood,,,,,,,,,,,,,
Total,"23,464","17,787","14,857","12,601","9,803","9,518","9,361","9,103","9,191","9,164","9,101","8,983","9,166"
"Less than $10,000",,,"6,137","4,094","2,800","2,713","2,734","2,456","2,272","2,215","2,109","2,214","2,391"
"$10,000 to $14,999",,,"1,976","1,242","1,179","1,169","1,153","1,249","1,346","1,361","1,245","1,031","1,011"
"$15,000 to $19,999",,,1511,1167,1124,1052,1002,872,960,1049,989,887,812
"$20,000 to $24,999",,,1142,1051,774,805,751,743,782,852,814,845,828
"$25,000 to $29,999",,,977,973,519,487,436,554,617,564,615,642,643
"$30,000 to $34,999",,,796,701,518,545,645,579,526,576,540,500,504
"$35,000 to $39,999",,,504,622,398,323,302,346,398,410,430,434,325
"$40,000 to $44,999",,,496,422,244,295,332,348,337,279,196,325,373
"$45,000 to $49,999",,,345,497,430,350,327,440,380,372,413,338,422
"$50,000 to $59,999",,,425,575,514,558,600,499,463,395,469,607,616
"$60,000 to $74,999",,,341,547,469,539,427,351,312,347,389,332,400
"$75,000 to $99,999",,,155,347,514,359,287,362,418,358,392,444,374
"$100,000 to $124,999",,,20,174,143,148,201,178,201,179,283,216,207
"$125,000 to $149,999",,,26,67,65,75,94,53,103,94,92,40,145
"$150,000 to $199,999",,,6,43,19,55,26,37,37,32,46,46,54
"$200,000 or more",,,,79,93,45,44,36,39,81,79,82,61
Median household income,"$40,773","$30,455","$26,672","$29,424","$21,290","$21,071","$20,471","$21,618","$21,645","$20,748","$21,716","$22,184","$21,981"
,,,,,,,,,,,,,
69. Greater Grand Crossing,,,,,,,,,,,,,
Total,"17,673","16,968","14,445","14,376","12,605","12,095","12,032","11,959","12,139","12,129","12,230","12,134","12,260"
"Less than $10,000",,,"4,297","3,178","2,376","2,458","2,455","2,506","2,389","2,567","2,645","2,613","2,482"
"$10,000 to $14,999",,,1637,1231,901,957,1122,1166,1099,1172,1188,925,949
"$15,000 to $19,999",,,1698,1135,1174,1174,1186,1138,1096,1185,1107,934,928
"$20,000 to $24,999",,,1093,1114,1129,1023,1090,938,1022,836,902,937,1086
"$25,000 to $29,999",,,1114,856,849,760,757,764,851,748,698,708,670
"$30,000 to $34,999",,,1081,1026,806,692,690,718,729,586,620,616,684
"$35,000 to $39,999",,,791,693,613,543,491,492,517,384,536,724,660
"$40,000 to $44,999",,,612,569,595,479,301,374,504,571,525,478,466
"$45,000 to $49,999",,,498,643,365,437,511,422,429,405,396,448,515
"$50,000 to $59,999",,,659,1238,1145,788,822,760,629,563,685,642,669
"$60,000 to $74,999",,,581,1091,825,957,976,998,1129,1229,968,953,899
"$75,000 to $99,999",,,293,"1,031",879,849,778,836,966,"1,051","1,061","1,030","1,012"
"$100,000 to $124,999",,,79,243,465,501,394,423,349,309,338,438,473
"$125,000 to $149,999",,,12,156,156,129,156,146,176,225,250,267,298
"$150,000 to $199,999",,,-,101,163,145,120,160,151,186,162,282,289
"$200,000 or more",,,,71,164,203,183,118,103,112,149,139,180
Median household income,"$47,228","$39,588","$37,318","$43,335","$32,829","$30,720","$28,341","$28,749","$29,650","$28,223","$27,577","$30,009","$30,096"
,,,,,,,,,,,,,
70. Ashburn,,,,,,,,,,,,,
Total,"12,657","12,817","12,742","12,798","12,780","12,827","12,722","12,823","12,833","12,982","13,080","13,124","12,939"
"Less than $10,000",,,844,696,523,611,555,531,560,570,543,687,722
"$10,000 to $14,999",,,827,493,469,394,347,422,406,396,391,428,341
"$15,000 to $19,999",,,763,524,521,578,501,628,640,508,636,657,521
"$20,000 to $24,999",,,915,672,607,609,581,557,415,514,479,494,402
"$25,000 to $29,999",,,760,733,706,699,611,630,495,492,452,537,599
"$30,000 to $34,999",,,1207,575,420,513,637,741,778,725,573,473,422
"$35,000 to $39,999",,,1234,726,612,558,476,466,492,433,573,418,321
"$40,000 to $44,999",,,1000,729,458,359,531,478,317,378,332,302,381
"$45,000 to $49,999",,,984,590,372,423,477,573,591,461,413,364,360
"$50,000 to $59,999",,,"1,559","1,592",836,903,"1,042","1,042","1,184","1,323","1,160","1,072","1,144"
"$60,000 to $74,999",,,"1,204","2,134","1,631","1,578","1,503","1,442","1,469","1,580","1,751","1,658","1,577"
"$75,000 to $99,999",,,"1,071","1,833","2,099","2,135","2,198","2,083","2,166","2,080","2,092","2,070","2,174"
"$100,000 to $124,999",,,274,899,"1,659","1,598","1,485","1,459","1,269","1,350","1,312","1,468","1,413"
"$125,000 to $149,999",,,65,363,885,890,829,848,946,"1,043",986,"1,030","1,044"
"$150,000 to $199,999",,,35,170,787,748,748,709,832,902,1043,1093,1072
"$200,000 or more",,,,69,195,231,201,214,273,227,344,373,446
Median household income,"$83,947","$85,046","$78,930","$83,256","$75,532","$73,717","$71,209","$68,705","$69,729","$69,060","$69,562","$70,406","$71,366"
,,,,,,,,,,,,,
71. Auburn Gresham,,,,,,,,,,,,,
Total,"20,057","19,260","18,605","18,214","17,173","17,315","17,158","17,150","17,279","17,111","16,967","17,161","17,253"
"Less than $10,000",,,"3,415","2,817","2,646","2,807","2,803","2,986","2,983","2,784","2,435","2,367","2,305"
"$10,000 to $14,999",,,"1,461","1,373","1,530","1,423","1,438","1,551","1,584","1,569","1,627","1,673","1,372"
"$15,000 to $19,999",,,"1,875","1,295","1,362","1,700","1,554","1,507","1,523","1,479","1,362","1,506","1,295"
"$20,000 to $24,999",,,"1,705","1,406","1,623","1,644","1,608","1,411","1,407","1,204","1,179","1,155","1,314"
"$25,000 to $29,999",,,1497,1104,1284,1300,1176,1276,1185,1222,938,958,940
"$30,000 to $34,999",,,1722,1285,786,740,843,885,888,878,1011,1048,929
"$35,000 to $39,999",,,1173,1044,992,939,966,1008,954,965,992,1028,949
"$40,000 to $44,999",,,1105,1189,835,760,777,706,759,689,774,768,789
"$45,000 to $49,999",,,940,895,758,662,619,600,662,594,597,600,552
"$50,000 to $59,999",,,"1,450","1,605","1,501","1,418","1,413","1,296","1,164","1,019","1,121","1,031","1,267"
"$60,000 to $74,999",,,"1,371","1,566","1,266","1,260","1,436","1,543","1,497","1,695","1,757","1,553","1,545"
"$75,000 to $99,999",,,593,"1,418","1,395","1,412","1,248","1,103","1,297","1,404","1,389","1,439","1,405"
"$100,000 to $124,999",,,188,732,494,585,496,616,694,823,901,1077,1379
"$125,000 to $149,999",,,50,187,322,285,378,356,360,328,336,462,458
"$150,000 to $199,999",,,60,138,263,245,287,202,207,297,344,291,474
"$200,000 or more",,,,160,116,135,116,104,115,161,204,205,280
Median household income,"$60,371","$61,793","$55,481","$53,147","$34,699","$32,243","$32,763","$31,960","$32,095","$33,162","$35,645","$34,801","$37,332"
,,,,,,,,,,,,,
72. Beverly,,,,,,,,,,,,,
Total,"8,065","7,602","7,743","8,038","7,705","7,796","7,526","7,492","7,610","7,673","7,557","7,481","7,390"
"Less than $10,000",,,444,316,278,245,211,273,314,313,293,343,245
"$10,000 to $14,999",,,362,207,128,79,95,90,92,78,46,57,79
"$15,000 to $19,999",,,301,205,217,216,207,189,178,183,136,120,162
"$20,000 to $24,999",,,402,303,207,177,191,137,160,144,136,143,109
"$25,000 to $29,999",,,375,294,181,198,147,222,231,315,273,265,138
"$30,000 to $34,999",,,542,335,194,200,215,228,182,228,247,202,187
"$35,000 to $39,999",,,486,338,167,218,302,303,247,174,173,194,196
"$40,000 to $44,999",,,599,458,249,232,289,238,267,274,186,124,112
"$45,000 to $49,999",,,483,306,288,240,190,235,253,283,208,246,195
"$50,000 to $59,999",,,1026,648,457,466,448,515,441,409,441,501,379
"$60,000 to $74,999",,,1048,1173,844,807,635,616,664,662,553,532,530
"$75,000 to $99,999",,,859,"1,247","1,290","1,259","1,169","1,110","1,212","1,144","1,160","1,072","1,032"
"$100,000 to $124,999",,,459,910,883,918,824,769,695,644,685,657,826
"$125,000 to $149,999",,,114,502,659,725,653,649,642,605,613,701,671
"$150,000 to $199,999",,,243,445,843,970,"1,032","1,099","1,016","1,060","1,089","1,120",912
"$200,000 or more",,,,351,820,846,918,819,"1,016","1,157","1,318","1,204","1,617"
Median household income,"$87,104","$85,840","$98,516","$103,730","$96,301","$99,366","$99,647","$97,131","$96,131","$94,871","$100,858","$99,615","$108,694"
,,,,,,,,,,,,,
73. Washington Heights,,,,,,,,,,,,,
Total,"9,759","10,114","9,796","9,823","9,308","9,364","9,283","9,501","9,509","9,570","9,485","9,287","9,331"
"Less than $10,000",,,"1,062",963,644,731,705,697,814,"1,068","1,180","1,229","1,005"
"$10,000 to $14,999",,,642,491,719,670,668,550,584,635,586,513,647
"$15,000 to $19,999",,,876,582,647,607,603,647,667,772,592,609,422
"$20,000 to $24,999",,,711,518,641,670,768,703,722,584,496,375,459
"$25,000 to $29,999",,,825,659,596,617,591,595,612,483,498,453,513
"$30,000 to $34,999",,,926,756,697,776,676,708,594,494,395,318,371
"$35,000 to $39,999",,,879,517,586,573,579,502,448,364,359,337,367
"$40,000 to $44,999",,,758,637,460,454,424,428,349,409,442,391,309
"$45,000 to $49,999",,,524,436,630,473,473,478,464,348,191,288,290
"$50,000 to $59,999",,,944,1191,696,744,809,800,678,764,736,725,789
"$60,000 to $74,999",,,992,1121,904,911,703,795,727,801,980,983,993
"$75,000 to $99,999",,,417,"1,002",883,996,"1,110","1,288","1,224","1,194","1,115","1,178",923
"$100,000 to $124,999",,,152,447,759,675,651,694,851,794,874,920,1160
"$125,000 to $149,999",,,58,291,259,325,332,351,393,365,420,352,369
"$150,000 to $199,999",,,30,101,132,88,152,188,278,347,372,413,559
"$200,000 or more",,,,111,55,54,39,77,104,148,249,203,155
Median household income,"$70,787","$72,157","$68,543","$67,061","$46,446","$44,821","$44,290","$47,989","$47,882","$46,958","$51,528","$52,279","$53,182"
,,,,,,,,,,,,,
74. Mount Greenwood,,,,,,,,,,,,,
Total,"6,310","6,684","6,881","6,903","6,589","6,461","6,416","6,457","6,573","6,595","6,751","6,692","6,945"
"Less than $10,000",,,610,286,174,195,240,273,202,216,254,232,272
"$10,000 to $14,999",,,462,275,82,142,143,122,131,121,120,145,172
"$15,000 to $19,999",,,403,315,180,173,180,183,140,138,158,169,115
"$20,000 to $24,999",,,531,253,219,174,133,170,160,145,125,113,66
"$25,000 to $29,999",,,420,234,125,177,163,167,142,138,157,115,162
"$30,000 to $34,999",,,505,308,260,230,171,149,176,126,77,96,167
"$35,000 to $39,999",,,486,301,174,174,253,218,248,281,307,222,145
"$40,000 to $44,999",,,496,434,180,166,155,157,200,208,227,289,278
"$45,000 to $49,999",,,453,415,130,55,122,126,103,132,170,215,203
"$50,000 to $59,999",,,880,803,260,355,283,347,417,408,371,318,407
"$60,000 to $74,999",,,951,1050,779,768,747,731,617,440,437,270,464
"$75,000 to $99,999",,,476,"1,183","1,335","1,193","1,049","1,007","1,141","1,200","1,038","1,075","1,122"
"$100,000 to $124,999",,,163,653,1075,1026,1058,1148,1064,899,1023,964,769
"$125,000 to $149,999",,,37,235,577,644,727,764,762,720,677,736,761
"$150,000 to $199,999",,,8,91,806,735,724,656,747,"1,034","1,091","1,061","1,060"
"$200,000 or more",,,,67,233,254,268,239,323,389,519,672,782
Median household income,"$77,300","$73,098","$81,017","$89,246","$97,464","$95,435","$95,947","$95,668","$96,553","$98,021","$100,866","$103,177","$97,101"
,,,,,,,,,,,,,
75. Morgan Park,,,,,,,,,,,,,
Total,"8,857","8,792","8,490","8,524","8,009","7,982","7,947","8,130","8,070","8,070","8,084","8,101","8,020"
"Less than $10,000",,,1018,647,644,567,582,521,575,737,756,717,684
"$10,000 to $14,999",,,591,390,361,359,427,462,483,378,394,276,197
"$15,000 to $19,999",,,570,562,332,374,334,293,255,290,250,221,298
"$20,000 to $24,999",,,561,418,310,269,493,515,570,535,586,538,412
"$25,000 to $29,999",,,728,453,579,505,403,395,394,238,277,205,383
"$30,000 to $34,999",,,607,397,223,267,301,364,382,442,307,425,450
"$35,000 to $39,999",,,600,434,284,330,264,354,345,383,424,437,308
"$40,000 to $44,999",,,626,330,408,336,303,356,165,188,279,331,406
"$45,000 to $49,999",,,622,320,234,246,270,205,308,345,310,291,244
"$50,000 to $59,999",,,827,871,557,551,521,561,585,565,399,423,386
"$60,000 to $74,999",,,942,1036,782,791,761,752,655,834,864,797,872
"$75,000 to $99,999",,,501,1268,1067,1154,1313,1192,1051,1038,944,894,838
"$100,000 to $124,999",,,122,689,1065,992,862,927,810,756,830,947,861
"$125,000 to $149,999",,,118,332,468,379,328,393,550,359,404,475,535
"$150,000 to $199,999",,,57,249,447,580,504,500,519,503,490,548,611
"$200,000 or more",,,,128,248,282,281,340,423,479,570,576,535
Median household income,"$71,960","$70,550","$73,166","$82,479","$68,852","$69,924","$66,864","$66,147","$64,060","$61,654","$62,649","$63,844","$63,517"
,,,,,,,,,,,,,
76. O'Hare,,,,,,,,,,,,,
Total,,"5,467","5,661","5,914","6,108","6,075","6,116","6,215","6,125","6,015","6,069","6,120","6,460"
"Less than $10,000",,,372,412,462,521,520,500,379,321,274,249,241
"$10,000 to $14,999",,,396,388,277,322,371,504,354,464,393,370,302
"$15,000 to $19,999",,,460,320,431,461,459,424,460,424,456,386,276
"$20,000 to $24,999",,,455,291,381,416,555,589,515,534,419,384,518
"$25,000 to $29,999",,,579,345,469,375,355,282,249,331,480,482,326
"$30,000 to $34,999",,,513,419,271,341,357,294,383,297,317,268,282
"$35,000 to $39,999",,,499,446,291,271,230,194,188,148,158,130,128
"$40,000 to $44,999",,,465,457,463,399,312,281,349,335,313,265,230
"$45,000 to $49,999",,,463,427,185,215,177,174,235,191,172,273,212
"$50,000 to $59,999",,,526,687,479,462,486,592,630,532,542,732,683
"$60,000 to $74,999",,,493,675,503,609,710,695,686,934,781,559,720
"$75,000 to $99,999",,,309,493,1170,950,913,986,919,760,944,955,1188
"$100,000 to $124,999",,,66,327,345,306,273,289,328,294,347,436,575
"$125,000 to $149,999",,,10,114,195,226,184,151,146,151,187,216,280
"$150,000 to $199,999",,,55,41,145,134,151,190,209,188,184,267,332
"$200,000 or more",,,,72,41,67,63,70,95,111,102,148,167
Median household income,,"$67,895","$69,272","$65,307","$49,209","$47,245","$45,648","$48,554","$50,868","$49,709","$51,604","$52,986","$60,532"
,,,,,,,,,,,,,
77. Edgewater,,,,,,,,,,,,,
Total,"28,820","29,249","30,128","30,918","29,110","28,739","28,669","28,675","28,667","28,890","28,880","29,275","28,890"
"Less than $10,000",,,"5,549","4,271","3,568","3,319","3,262","2,805","3,064","2,883","2,700","2,526","2,299"
"$10,000 to $14,999",,,"3,017","2,400","2,173","2,004","1,963","2,030","1,687","1,494","1,530","1,612","1,537"
"$15,000 to $19,999",,,"3,411","1,741","1,637","1,546","1,730","1,830","1,819","1,749","1,575","1,385","1,126"
"$20,000 to $24,999",,,"3,060","2,148","1,470","1,537","1,233","1,413","1,453","1,641","1,508","1,407","1,147"
"$25,000 to $29,999",,,"2,854","2,273","1,767","1,757","1,689","1,641","1,593","1,655","1,465","1,306","1,237"
"$30,000 to $34,999",,,"1,997","2,265","1,601","1,535","1,479","1,473","1,345","1,237","1,286","1,565","1,482"
"$35,000 to $39,999",,,"1,913","2,100","1,681","1,613","1,622","1,425","1,342","1,472","1,306","1,326","1,198"
"$40,000 to $44,999",,,"1,675","1,977","1,243","1,231","1,513","1,536","1,557","1,370","1,155","1,269","1,358"
"$45,000 to $49,999",,,"1,040","1,406","1,100","1,149",864,786,898,"1,101","1,211","1,081","1,237"
"$50,000 to $59,999",,,"2,028","2,538","1,677","2,037","2,117","2,330","2,383","2,447","2,212","2,012","2,202"
"$60,000 to $74,999",,,"1,779","2,871","2,895","2,755","2,638","2,729","2,637","2,583","2,707","2,735","2,775"
"$75,000 to $99,999",,,948,"2,306","3,127","3,113","3,133","3,352","3,033","2,921","2,995","3,064","3,020"
"$100,000 to $124,999",,,369,"1,305","1,838","1,610","1,721","1,645","1,974","2,139","2,219","2,216","2,472"
"$125,000 to $149,999",,,126,481,"1,283","1,226","1,259","1,158","1,143","1,162","1,262","1,604","1,507"
"$150,000 to $199,999",,,362,360,"1,048","1,196","1,283","1,305","1,430","1,614","1,896","1,894","2,085"
"$200,000 or more",,,,476,"1,002","1,111","1,163","1,217","1,309","1,422","1,853","2,273","2,208"
Median household income,"$53,809","$45,934","$50,436","$55,520","$47,883","$49,103","$48,523","$50,293","$51,206","$51,743","$54,395","$56,150","$58,037"
,,,,,,,,,,,,,
Chicago,,,,,,,,,,,,,
Total,"1,136,612","1,094,046","1,020,911","1,061,964","1,030,076","1,028,746","1,020,605","1,035,159","1,042,329","1,046,551","1,055,844","1,066,522","1,080,700"
"Less than $10,000",,,"212,836","146,192","114,680","115,750","133,257","114,835","113,124","107,687","101,864","98,154","94,888"
"$10,000 to $14,999",,,"90,406","71,103","62,821","61,542","73,223","61,113","59,733","57,481","53,921","51,739","50,566"
"$15,000 to $19,999",,,"93,562","65,654","61,511","62,010","62,337","60,632","59,383","58,439","56,364","53,680","48,532"
"$20,000 to $24,999",,,"90,062","66,685","58,177","58,517","61,555","59,375","58,306","55,528","56,295","56,096","53,203"
"$25,000 to $29,999",,,"80,784","66,446","54,763","53,439","59,269","52,108","49,731","48,853","48,600","46,534","44,135"
"$30,000 to $34,999",,,"76,354","67,224","51,022","52,997","61,989","51,747","49,313","47,131","46,837","48,292","46,470"
"$35,000 to $39,999",,,"66,625","62,459","47,189","46,233","46,205","46,031","45,488","44,574","43,043","41,777","38,968"
"$40,000 to $44,999",,,"56,733","58,506","46,433","46,179","53,048","45,343","45,183","44,109","43,090","40,915","42,626"
"$45,000 to $49,999",,,"45,687","50,175","39,054","38,987","42,977","36,713","36,739","36,040","35,002","34,836","34,275"
"$50,000 to $59,999",,,"69,717","89,305","76,127","73,508","80,960","73,314","73,251","72,435","72,900","72,228","72,635"
"$60,000 to $74,999",,,"61,089","99,395","94,488","92,495","92,154","92,014","91,347","92,468","91,462","88,613","92,329"
"$75,000 to $99,999",,,"41,181","95,162","111,743","110,339","98,598","110,326","113,248","114,391","115,886","119,174","124,158"
"$100,000 to $124,999",,,"15,708","51,340","71,895","73,217","57,446","75,603","78,989","81,257","83,567","87,398","90,949"
"$125,000 to $149,999",,,"6,848","24,403","41,343","41,303","34,396","44,353","47,298","51,278","56,135","59,332","64,106"
"$150,000 to $199,999",,,"13,319","21,884","46,989","47,739","31,506","50,990","55,127","60,913","65,852","73,021","78,950"
"$200,000 or more",,,,"26,031","51,841","54,491","31,685","60,662","66,069","73,967","85,026","94,733","103,910"
Median household income,"$52,775","$50,850","$52,972","$59,958","$53,389","$52,346","$52,260","$52,932","$54,553","$55,590","$57,144","$59,082","$61,917"
"Source: 1960-2000 data are tabulated from the Decennial Census, subsequent years are tabulated from the American Community Survey",,,,,,,,,,,,,
Note: Income ranges for years prior to 1990 are not compatible with 1990 onward. See 1970 and 1980 income tabs for income ranges reported at those censuses.,,,,,,,,,,,,,
"Note: Data for some census tracts are suppressed (i.e., not reported) by the Census Bureau. This affects only some community areas but has the effect of causing the community area data to not sum exactly to the citywide total.",,,,,,,,,,,,,
Note: All median household income amounts are in 2018 dollars,,,,,,,,,,,,,
"Note: In 1990 data, income range ""$150,000 to $199,999"" represents $150,000 or more",,,,,,,,,,,,,
"Note: The Decennial Census sections (1970-2000) represent the prior year's income. E.g., 1970 data are for 1969, 1980 for 1979, 1990 for 1989 and 2000 for 1999",,,,,,,,,,,,,
"Note: The inflation adjustment factors used to adjust income amounts to current dollars can be found in a U.S. Census Bureau report ""Income and Poverty in the United States: 2016,"" in Appendix A: Estimates of Income. Found at https://www.census.gov/content/dam/Census/library/publications/2017/demo/P60-259.pdf",,,,,,,,,,,,,
